application-exit,rectangle.portrait.and.arrow.right
arrow-collapse-down,arrow.down.to.line
attributes-copy,doc.on.doc
auto-type,keyboard
bitwarden,
bugreport,ladybug
chevron-double-down,chevron.down
chevron-double-right,chevron.right.2
clipboard-text,doc.on.doc
configure,gearshape
csv,tablecells
database-change-key,key
database-lock-all,lock.rectangle.stack.fill
database-lock,lock.fill
database-merge,arrow.triangle.merge
database-search,magnifyingglass.circle
database-settings,slider.horizontal.3
dialog-close,xmark
dialog-ok,checkmark.circle.fill
document-close,xmark
document-edit,square.and.pencil
document-export,tray.and.arrow.up
document-import,tray.and.arrow.down
document-new,doc.badge.plus
document-open-recent,clock
document-open,folder
document-properties,info.circle
document-save-as,square.and.arrow.down.on.square
document-save-copy,arrow.down.doc
document-save,square.and.arrow.down
donate,gift
edit-clear-locationbar-ltr,xmark.circle.fill
edit-clear-locationbar-rtl,xmark.circle.fill
entry-clone,plus.square.on.square
entry-delete,trash
entry-edit,square.and.pencil
entry-expire,clock.badge.exclamationmark
entry-new,plus
entry-restore,arrow.uturn.backward
favicon-download,arrow.down.circle
fingerprint,touchid
getting-started,lightbulb
group-clone,plus.square.on.square
group-delete,trash
group-edit,square.and.pencil
group-empty-trash,trash.fill
group-new,folder.badge.plus
hammer-wrench,wrench.and.screwdriver
health,waveform.path.ecg
help-about,info.circle
hibp,
keyboard-shortcuts,command
lock-open-alert,xmark.shield.fill
lock-open,exclamationmark.shield.fill
lock-question,shield
lock,checkmark.shield.fill
message-close,xmark
move-down,arrow.down
move-up,arrow.up
object-locked,lock.doc
object-unlocked,
onepassword,
paperclip,paperclip
passkey,person.badge.key
password-copy,doc.on.doc
password-generator,dice
password-show-off,eye.slash
password-show-on,eye
proton,
qrcode,qrcode
refresh,arrow.clockwise
remote-sync,arrow.triangle.2.circlepath
reports-exclude,lightbulb.slash
reports,chart.bar.doc.horizontal
sort-alphabetical-ascending,
sort-alphabetical-descending,
statistics,chart.xyaxis.line
system-help,questionmark.circle
system-search,magnifyingglass
system-software-update,arrow.down.app
tag-multiple,tag
tag-search,
tag,tag
totp-copy-password,doc.on.doc
totp-copy,doc.on.doc
totp-edit,square.and.pencil
totp-invalid,clock.badge.xmark
totp,timer
trash,trash
url-copy,doc.on.doc
user-guide,book
username-copy,doc.on.doc
view-history,clock.arrow.circlepath
web,globe
yubikey-refresh,arrow.clockwise
